"Seq.
No.";Lot;Coil Number;Mother Coil;Grade;Finish;Thickness;Width;Material Processed;PRIME (SLT);KW2;BabyCoil;Scrap;SS;Weighing Balance;Coil Individual Yield;;"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";;;;;
157;421;TI-GI306272A+B;TI-GI306272;304;2B;1,50;770;10.080;10.025;0;0;0;0;55;;;;;;;;;;;;;;;;;;
158;421;TI-GI306196A+B;TI-GI306196;304;2B;1,20;770;10.475;10.395;0;45;0;0;35;;;;;;;;;;;;;;;;;;
159;422;LTI-GI306547A+B;LTI-GI306547;304L;2B;1,00;777;8.470;8.440;0;0;3;0;27;;;;;;;;;;;;;;;;;;
160;421;LTI-GI306219A+B;LTI-GI306219;304L;2B;1,15;770;10.540;10.500;0;0;14;0;26;;;;;;;;;;;;;;;;;;
162;424;LTI-GI306634A+B;LTI-GI306634;304L;2B;1,45;773;10.320;10.265;0;0;17;0;38;;;;;;;;;;;;;;;;;;
163;422;LTI-GI306410A+B;LTI-GI306410;304L;2B;1,45;775;11.870;11.780;0;0;17;0;73;;;;;;;;;;;;;;;;;;
164;421;TI-GI306160A;TI-GI306160;304;2B;1,15;770;10.265;10.220;0;0;0;0;45;;;;;;;;;;;;;;;;;;
166;424;TI-GI306738A+B;TI-GI306738;304;2B;1,45;771;10.460;10.395;0;0;0;0;65;;;;;;;;;;;;;;;;;;
167;424;LTI-GI306726A+B;LTI-GI306726;304L;2B;1,15;771;10.575;10.545;0;0;0;0;30;;;;;;;;;;;;;;;;;;
168;424;LTI-GI306585A+B;LTI-GI306585;304L;2B;1,45;774;10.415;10.350;0;0;8;0;57;;;;;;;;;;;;;;;;;;
169;422;LTI-GI306415A+B+C;LTI-GI306415;304L;2B;1,45;773;12.020;11.945;0;0;9;0;66;;;;;;;;;;;;;;;;;;
170;421;TI-GI306199A+B;TI-GI306199;304;2B;1,10;770;10.415;10.350;0;0;8;0;57;;;;;;;;;;;;;;;;;;
171;424;LTI-GI306673A+B;LTI-GI306673;304L;2B;1,35;776;10.140;10.090;0;0;8;0;42;;;;;;;;;;;;;;;;;;
172;424;TI-GI306739A+B;TI-GI306739;304;2B;1,90;770;10.210;10.165;0;0;0;0;45;;;;;;;;;;;;;;;;;;
173;422;LTI-GI306546A;LTI-GI306546;304L;2B;0,90;772;8.410;8.375;0;0;5;0;30;;;;;;;;;;;;;;;;;;
175;422;LTI-GI306397A+B;LTI-GI306397;304L;2B;1,00;772;7.935;7.900;0;0;6;0;29;;;;;;;;;;;;;;;;;;
176;422;LTI-GI306451A+B;LTI-GI306451;304L;2B;0,80;771;8.485;8.450;0;0;5;0;30;;;;;;;;;;;;;;;;;;
177;422;LTI-GI306432A+B;LTI-GI306432;304L;2B;1,00;770;8.540;8.505;0;0;0;0;35;;;;;;;;;;;;;;;;;;
178;421;TI-GI306146A+B;TI-GI306146;304;2B;1,15;770;10.540;10.385;0;0;4;0;151;;;;;;;;;;;;;;;;;;
179;424;TI-GI306608A+B;TI-GI306608;304;2B;1,20;771;10.570;10.515;0;0;7;0;48;;;;;;;;;;;;;;;;;;
180;424;LTI-GI306707A+B;LTI-GI306707;304L;2B;1,45;768;10.430;10.380;0;0;5;0;45;;;;;;;;;;;;;;;;;;
181;424;TI-GI306607A+B;TI-GI306607;304;2B;1,20;770;10.550;10.520;0;0;0;0;30;;;;;;;;;;;;;;;;;;
182;424;LTI-GI306708A;LTI-GI306708;304L;2B;1,45;768;4.025;4.025;0;0;0;0;0;;;;;;;;;;;;;;;;;;
183;424;LTI-GI306712A+B;LTI-GI306712;304L;2B;2,00;768;10.330;10.255;0;0;0;0;75;;;;;;;;;;;;;;;;;;
184;424;LTI-GI306576A;LTI-GI306576;304L;2B;1,45;774;10.005;9.955;0;0;9;0;41;;;;;;;;;;;;;;;;;;
186;421;LTI-GI306214A+B;LTI-GI306214;304L;2B;0,90;770;10.495;10.455;0;0;6;0;34;;;;;;;;;;;;;;;;;;
187;424;LTI-GI306636A+B;LTI-GI306636;304L;2B;1,15;771;10.455;10.420;0;0;0;0;35;;;;;;;;;;;;;;;;;;
188;421;LTI-GI306139A+B;LTI-GI306139;304L;2B;0,80;770;10.435;10.380;0;0;10;0;45;;;;;;;;;;;;;;;;;;
189;422;LTI-GI306457A+B;LTI-GI306457;304L;2B;0,90;772;10.435;10.405;0;30;0;0;0;;;;;;;;;;;;;;;;;;
190;422;LTI-GI306569A+B;LTI-GI306569;304L;2B;2,00;777;10.560;10.510;0;0;0;0;50;;;;;;;;;;;;;;;;;;
191;422;TI-GI306528A+B;TI-GI306528;304;2B;1,15;766;10.240;10.170;0;0;21;0;49;;;;;;;;;;;;;;;;;;
192;424;LTI-GI306674A+B;LTI-GI306674;304L;2B;1,45;775;10.110;10.040;0;0;17;0;53;;;;;;;;;;;;;;;;;;
193;424;LTI-GI306680A+B;LTI-GI306680;304L;2B;1,45;768;11.975;11.910;0;0;0;0;65;;;;;;;;;;;;;;;;;;
195;421;LTI-GI306117A+B;LTI-GI306117;304L;2B;0,90;770;7.930;7.885;0;0;0;0;45;;;;;;;;;;;;;;;;;;
196;421;LTI-GI306138A+B;LTI-GI306138;304L;2B;0,70;770;10.300;10.350;0;0;0;0;-50;;;;;;;;;;;;;;;;;;
197;422;LTI-GI306476A+B;LTI-GI306476;304L;2B;0,90;769;8.280;8.235;0;0;0;0;45;;;;;;;;;;;;;;;;;;
198;424;TI-GI306623A+B;TI-GI306623;304;2B;1,15;770;10.430;10.380;0;0;4;0;46;;;;;;;;;;;;;;;;;;
199;424;TI-GI306622A+B;TI-GI306622;304;2B;1,15;772;10.570;10.525;0;0;4;0;41;;;;;;;;;;;;;;;;;;
200;424;LTI-GI306725A+B;LTI-GI306725;304L;2B;1,45;770;10.560;10.510;0;0;35;0;15;;;;;;;;;;;;;;;;;;
201;424;TI-GI306621A+B;TI-GI306621;304;2B;1,15;770;10.560;10.510;0;0;0;0;50;;;;;;;;;;;;;;;;;;
202;424;TI-GI306817A+B+C;TI-GI306817;304;2B;1,45;768;12.005;11.950;0;0;0;0;55;;;;;;;;;;;;;;;;;;
203;424;TI-GI306624A+B;TI-GI306624;304;2B;1,15;771;10.415;10.395;0;0;0;0;20;;;;;;;;;;;;;;;;;;
